0 0
0.000115385 0.14
0.0134487 0.398333
0.0675769 0.579444
0.143538 0.680556
0.211038 0.737222
0.263333 0.790556
0.307949 0.831111
0.345179 0.862222
0.377821 0.879444
0.406179 0.895
0.432692 0.906111
0.457821 0.915
0.481397 0.922778
0.502372 0.933333
0.521115 0.940556
0.538385 0.95
0.555885 0.956111
0.571872 0.962222
0.586987 0.967778
0.602846 0.970556
0.617026 0.974444
0.630423 0.977778
0.643077 0.979444
0.654744 0.981667
0.666192 0.985556
0.677231 0.987778
0.688603 0.987778
0.698359 0.988889
0.709256 0.99
0.719256 0.993333
0.728987 0.993889
0.737718 0.995
0.746615 0.995
0.754756 0.995556
0.762526 0.997222
0.769474 0.997222
0.777 0.997222
0.783949 0.997778
0.790141 0.997778
0.79691 0.998333
0.803244 0.998889
0.809346 0.999444
0.814885 1
0.82041 1
0.825795 1
0.830564 1
0.835885 1
0.840974 1
0.845603 1
